 Time,Vel,PitchCmd,Pitch,RateCmd,Rate,TorqueCmd
-00.74, 07.49,-03.15, 100.00, 51.70,-04.83
-00.75, 07.60,-02.64, 100.00, 51.81,-04.82
-00.76, 07.73,-02.16, 100.00, 52.15,-04.79
-00.77, 07.86,-01.59, 100.00, 52.48,-04.75
-00.78, 07.97,-01.08, 100.00, 52.15,-04.79
-00.79, 08.07,-00.56, 100.00, 52.37,-04.76
-00.80, 08.15,-00.05, 100.00, 52.04,-04.80
-00.80, 08.22, 00.48, 98.34, 52.04,-04.63
-00.81, 08.27, 01.00, 94.39, 51.36,-04.30
-00.81, 08.33, 01.00, 95.65, 51.36,-04.43
-00.82, 08.36, 02.02, 86.42, 50.25,-03.62
-00.82, 08.39, 02.53, 82.29, 50.36,-03.19
-00.82, 08.41, 03.03, 77.95, 49.35,-02.86
-00.82, 08.45, 03.51, 73.98, 49.24,-02.47
-00.82, 08.46, 04.02, 69.57, 48.12,-02.14
-00.82, 08.49, 04.50, 65.34, 48.12,-01.72
-00.82, 08.50, 04.98, 61.04, 47.34,-01.37
-00.82, 08.50, 05.46, 56.56, 47.34,-00.92
-00.82, 08.50, 05.93, 52.09, 46.66,-00.54
-00.82, 08.50, 06.39, 47.70, 46.55,-00.11
-00.82, 08.48, 06.89, 42.69, 45.99, 00.33
-00.82, 08.46, 07.34, 38.04, 45.77, 00.77
-00.81, 08.40, 07.79, 33.03, 44.31, 01.13
-00.80, 08.29, 08.23, 27.59, 42.86, 01.53
-00.78, 08.11, 08.65, 21.44, 40.17, 01.87
-00.76, 07.89, 09.04, 15.26, 36.48, 02.12
-00.72, 07.57, 09.39, 08.41, 32.45, 02.40
-00.69, 07.22, 09.70, 01.59, 28.31, 02.67
-00.65, 06.81, 09.97,-05.57, 23.16, 02.87
-00.60, 06.31, 10.18,-13.11, 17.57, 03.07
-00.54, 05.75, 10.34,-20.70, 12.09, 03.28
-00.48, 05.15, 10.43,-28.11, 05.71, 03.38
-00.42, 04.52, 10.47,-35.37, 00.34, 03.57
-00.35, 03.86, 10.45,-42.49,-05.82, 03.67
-00.28, 03.17, 10.36,-49.16,-11.30, 03.79
